,created_at,id,health,politics,emotions,full_text,full_text_tokenize,clean_full_text,clean_full_text_tokenized,porter_lamtizer_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sat Oct 24 06:33:46 +0000 2020,1.31989E+18,1,0,1,"@majidbally @joe_alinda supposed improve self esteem, boost good hormones. and relieve stress....but the bad part all the germs...including covid.💋😂","['@majidbally', '@joe_alinda', 'supposed', 'improve', 'self', 'esteem', ',', 'boost', 'good', 'hormones', '.', 'and', 'relieve', 'stress', '.', '.', '.', '.', 'but', 'the', 'bad', 'part', 'all', 'the', 'germs', '.', '.', '.', 'including', 'covid', '.', '💋', '😂']", alinda supposed improve self esteem boost good hormones and relieve stressbut the bad part all the germsincluding covid,"['esteem', 'boost', 'good', 'hormones', 'bad', 'part', 'germs', '💋', '😂']","esteem,boost,good,hormon,bad,part,germ,💋,😂",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sat Oct 24 06:33:46 +0000 2020,1.31989E+18,0,0,0,@BryanMyrick yourself favor and don't discuss Covid-19.,"['@BryanMyrick', 'yourself', 'favor', 'and', ""don't"", 'discuss', 'Covid', '-', '19', '.']", yourself favor and dont discuss Covid19,"['favor', 'Covid']","favor,covid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sat Oct 24 06:33:46 +0000 2020,1.31989E+18,1,0,0,"the covid IFR really .2%, then 1/3 Americans are have been infected. Seems unlikely although, suppose, possible.","['the', 'covid', 'IFR', 'really', '.', '2', '%', ',', 'then', '1', '/', '3', 'Americans', 'are', 'have', 'been', 'infected', '.', 'Seems', 'unlikely', 'although', ',', 'suppose', ',', 'possible', '.']",the covid IFR really 2 then 13 Americans are have been infected Seems unlikely although suppose possible,"['2', 'unlikely', 'possible']","2,unlik,possibl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sat Oct 24 06:33:45 +0000 2020,1.31989E+18,0,0,0,"Hear, hear! Maureen should every day. fact, she should give the briefing from number ten her own. Job done, covid sorted! Proper woman! https://t.co/wkj5VUHHRz","['Hear', ',', 'hear', '!', 'Maureen', 'should', 'every', 'day', '.', 'fact', ',', 'she', 'should', 'give', 'the', 'briefing', 'from', 'number', 'ten', 'her', 'own', '.', 'Job', 'done', ',', 'covid', 'sorted', '!', 'Proper', 'woman', '!', 'https://t.co/wkj5VUHHRz']",Hear hear Maureen should every day fact she should give the briefing from number ten her own Job done covid sorted Proper woman ,"['Hear', 'Maureen', 'every', 'fact', 'give', 'briefing', 'Job', 'Proper', 'woman']","hear,maureen,everi,fact,give,brief,job,proper,woman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Sat Oct 24 06:33:45 +0000 2020,1.31989E+18,0,0,0,"Understanding COVID-19’s impact the Rheumatoid Arthritis Stem Cell Therapy Market, Infers https://t.co/PenRl1v2Cw https://t.co/V9n7II69Ns","['Understanding', 'COVID', '-', '19', '’', 's', 'impact', 'the', 'Rheumatoid', 'Arthritis', 'Stem', 'Cell', 'Therapy', 'Market', ',', 'Infers', 'https://t.co/PenRl1v2Cw', 'https://t.co/V9n7II69Ns']",Understanding COVID19s impact the Rheumatoid Arthritis Stem Cell Therapy Market Infers  ,"['COVID', 'Rheumatoid', 'Cell', 'Market']","covid,rheumatoid,cell,market",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sat Oct 24 06:33:44 +0000 2020,1.31989E+18,1,0,1,think the pandemic has fake right? many people just out. ALSO tell why family from out state tryna visit during fkn pandemic AND visit family and extended family who recently got Covid like HUH???,"['think', 'the', 'pandemic', 'has', 'fake', 'right', '?', 'many', 'people', 'just', 'out', '.', 'ALSO', 'tell', 'why', 'family', 'from', 'out', 'state', 'tryna', 'visit', 'during', 'fkn', 'pandemic', 'AND', 'visit', 'family', 'and', 'extended', 'family', 'who', 'recently', 'got', 'Covid', 'like', 'HUH', '?', '?', '?']",think the pandemic has fake right many people just out ALSO tell why family from out state tryna visit during fkn pandemic AND visit family and extended family who recently got Covid like HUH,"['pandemic', 'fake', 'right', 'people', 'family', 'visit', 'fkn', 'pandemic', 'visit', 'family', 'extended', 'family', 'got', 'Covid', 'like', 'HUH']","pandem,fake,right,peopl,famili,visit,fkn,pandem,visit,famili,extend,famili,got,covid,like,huh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sat Oct 24 06:33:44 +0000 2020,1.31989E+18,0,1,1,"@AgedCareQuality The COVID vulnerability NursingHomes, particularly StormVillage, was apparent 2006 when claimed the CEO, HowardWhitelaw, that what they were doing amounted involuntary euthanasia: dehydration &amp; malnutrition. Food &amp; fluids turned &amp; staff disappeared! https://t.co/GPUZz5xxZc","['@AgedCareQuality', 'The', 'COVID', 'vulnerability', 'NursingHomes', ',', 'particularly', 'StormVillage', ',', 'was', 'apparent', '2006', 'when', 'claimed', 'the', 'CEO', ',', 'HowardWhitelaw', ',', 'that', 'what', 'they', 'were', 'doing', 'amounted', 'involuntary', 'euthanasia', ':', 'dehydration', '&', 'amp', ';', 'malnutrition', '.', 'Food', '&', 'amp', ';', 'fluids', 'turned', '&', 'amp', ';', 'staff', 'disappeared', '!', 'https://t.co/GPUZz5xxZc']", The COVID vulnerability NursingHomes particularly StormVillage was apparent 2006 when claimed the CEO HowardWhitelaw that what they were doing amounted involuntary euthanasia dehydration amp malnutrition Food amp fluids turned amp staff disappeared ,"['COVID', 'vulnerability', 'NursingHomes', 'particularly', '2006', 'claimed', 'CEO', 'HowardWhitelaw', 'euthanasia', 'Food', 'fluids']","covid,vulner,nursinghom,particularli,2006,claim,ceo,howardwhitelaw,euthanasia,food,fluid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sat Oct 24 06:33:44 +0000 2020,1.31989E+18,1,1,0,"North Korea says China dust could spread Covid-19, warns people stay inside world news https://t.co/nZwHwJQd6f","['North', 'Korea', 'says', 'China', 'dust', 'could', 'spread', 'Covid', '-', '19,', 'warns', 'people', 'stay', 'inside', 'world', 'news', 'https://t.co/nZwHwJQd6f']",North Korea says China dust could spread Covid19 warns people stay inside world news ,"['North', 'Korea', 'China', 'Covid', 'warns', 'people', 'world']","north,korea,china,covid,warn,peopl,world",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sat Oct 24 06:33:44 +0000 2020,1.31989E+18,0,1,0,"@sunrainmakerain @AndrewD_28 @DanielAndrewsMP There would *VASTLY* more suicides COVID were allowed run free, ignoring health advice. https://t.co/OtUV7SVa9J","['@sunrainmakerain', '@AndrewD_28', '@DanielAndrewsMP', 'There', 'would', '*', 'VASTLY', '*', 'more', 'suicides', 'COVID', 'were', 'allowed', 'run', 'free', ',', 'ignoring', 'health', 'advice', '.', 'https://t.co/OtUV7SVa9J']", 28  There would VASTLY more suicides COVID were allowed run free ignoring health advice ,"['would', 'VASTLY', 'COVID', 'run', 'free']","would,vastli,covid,run,free",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sat Oct 24 06:33:44 +0000 2020,1.31989E+18,1,0,0,@judeeflick @JermaineRivers @benlandis trust anyone spread Covid-19 extraterrestrially it’s absolutely the @GOP,"['@judeeflick', '@JermaineRivers', '@benlandis', 'trust', 'anyone', 'spread', 'Covid', '-', '19', 'extraterrestrially', 'it', '’', 's', 'absolutely', 'the', '@GOP']",   trust anyone spread Covid19 extraterrestrially its absolutely the ,"['Covid', 'extraterrestrially']","covid,extraterrestri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sat Oct 24 06:33:44 +0000 2020,1.31989E+18,1,1,0,"@robertowardy @sandra4646 @KateWilton1 @JamesCleverly She's literally said there's £63m assigned help those struggling, what don't you get? can you only parrot ""starving children, starving children"". The Government are pouring much money into COVID support but it's never enough it. Austerity will along shortly...","['@robertowardy', '@sandra4646', '@KateWilton1', '@JamesCleverly', ""She's"", 'literally', 'said', ""there's"", '£', '63', 'm', 'assigned', 'help', 'those', 'struggling', ',', 'what', ""don't"", 'you', 'get', '?', 'can', 'you', 'only', 'parrot', '""', 'starving', 'children', ',', 'starving', 'children', '""', '.', 'The', 'Government', 'are', 'pouring', 'much', 'money', 'into', 'COVID', 'support', 'but', ""it's"", 'never', 'enough', 'it', '.', 'Austerity', 'will', 'along', 'shortly', '.', '.', '.']",    Shes literally said theres 63m assigned help those struggling what dont you get can you only parrot starving children starving children The Government are pouring much money into COVID support but its never enough it Austerity will along shortly,"['literally', '£', '63', 'get', 'parrot', 'children', 'children', 'Government', 'pouring', 'COVID', 'enough']","liter,£,63,get,parrot,children,children,govern,pour,covid,enough",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sat Oct 24 06:33:42 +0000 2020,1.31989E+18,1,1,1,@BeijingPalmer I’d agree 100% except for it’s show Chinese killing Americans but not the other way around. Asymmetrical propaganda will have pretty strong backlash—not saying this exclusively with the American context either we’ve already seen from CCP’s attempt covid diplomacy,"['@BeijingPalmer', 'I', '’', 'd', 'agree', '100', '%', 'except', 'for', 'it', '’', 's', 'show', 'Chinese', 'killing', 'Americans', 'but', 'not', 'the', 'other', 'way', 'around', '.', 'Asymmetrical', 'propaganda', 'will', 'have', 'pretty', 'strong', 'backlash', '—', 'not', 'saying', 'this', 'exclusively', 'with', 'the', 'American', 'context', 'either', 'we', '’', 've', 'already', 'seen', 'from', 'CCP', '’', 's', 'attempt', 'covid', 'diplomacy']", Id agree 100 except for its show Chinese killing Americans but not the other way around Asymmetrical propaganda will have pretty strong backlashnot saying this exclusively with the American context either weve already seen from CCPs attempt covid diplomacy,"['except', 'Chinese', 'killing', 'way', 'propaganda', 'pretty', 'backlash', '—', 'exclusively', 'either', 'CCP']","except,chines,kill,way,propaganda,pretti,backlash,—,exclus,either,ccp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Sat Oct 24 06:33:41 +0000 2020,1.31989E+18,1,0,1,"now, many Americans are experiencing Covid fatigue. They’re tired temporarily suspending their personal freedoms/liberties for the safety others. get it. But here’s the reality: The virus isn’t tired, just because you are... #WearAMask #SocialDistancing","['now', ',', 'many', 'Americans', 'are', 'experiencing', 'Covid', 'fatigue', '.', 'They', '’', 're', 'tired', 'temporarily', 'suspending', 'their', 'personal', 'freedoms', '/', 'liberties', 'for', 'the', 'safety', 'others', '.', 'get', 'it', '.', 'But', 'here', '’', 's', 'the', 'reality', ':', 'The', 'virus', 'isn', '’', 't', 'tired', ',', 'just', 'because', 'you', 'are', '.', '.', '.', '#WearAMask', '#SocialDistancing']",now many Americans are experiencing Covid fatigue Theyre tired temporarily suspending their personal freedomsliberties for the safety others get it But heres the reality The virus isnt tired just because you are WearAMask SocialDistancing,"['experiencing', 'Covid', 'fatigue', 'personal', 'freedoms', 'liberties', 'get', 'But', 'virus']","experienc,covid,fatigu,person,freedom,liberti,get,but,viru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Sat Oct 24 06:33:41 +0000 2020,1.31989E+18,0,1,1,"@abstractsunday are trying much possible overcome the drastic effects COVID Nepal, People are doing all sorts things save and get some money (like child marriage, not allowing kids school) possible PLEASE HELP &amp; SHARE https://t.co/XZq9pGpNBk","['@abstractsunday', 'are', 'trying', 'much', 'possible', 'overcome', 'the', 'drastic', 'effects', 'COVID', 'Nepal', ',', 'People', 'are', 'doing', 'all', 'sorts', 'things', 'save', 'and', 'get', 'some', 'money', '(', 'like', 'child', 'marriage', ',', 'not', 'allowing', 'kids', 'school', ')', 'possible', 'PLEASE', 'HELP', '&', 'amp', ';', 'SHARE', 'https://t.co/XZq9pGpNBk']", are trying much possible overcome the drastic effects COVID Nepal People are doing all sorts things save and get some money like child marriage not allowing kids school possible PLEASE HELP amp SHARE ,"['possible', 'effects', 'COVID', 'Nepal', 'People', 'get', 'like', 'child', 'kids', 'possible', 'PLEASE', 'HELP']","possibl,effect,covid,nepal,peopl,get,like,child,kid,possibl,pleas,help",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sat Oct 24 06:33:40 +0000 2020,1.31989E+18,0,1,0,"@knightfdn @Gallup Help USA People DON'T Know that they can save the USPS, skip the middle man, avoid the lines and COVID safe directly dropping off their ballots county Election Offices. simple and took only minutes vote! PLEASE SHARE.","['@knightfdn', '@Gallup', 'Help', 'USA', 'People', ""DON'T"", 'Know', 'that', 'they', 'can', 'save', 'the', 'USPS', ',', 'skip', 'the', 'middle', 'man', ',', 'avoid', 'the', 'lines', 'and', 'COVID', 'safe', 'directly', 'dropping', 'off', 'their', 'ballots', 'county', 'Election', 'Offices', '.', 'simple', 'and', 'took', 'only', 'minutes', 'vote', '!', 'PLEASE', 'SHARE', '.']",  Help USA People DONT Know that they can save the USPS skip the middle man avoid the lines and COVID safe directly dropping off their ballots county Election Offices simple and took only minutes vote PLEASE SHARE,"['Help', 'People', ""DON'T"", 'Know', 'lines', 'COVID', 'ballots', 'Election', 'Offices', 'vote', 'PLEASE']","help,peopl,don't,know,line,covid,ballot,elect,offic,vote,pleas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sat Oct 24 06:33:39 +0000 2020,1.31989E+18,1,0,0,"@karolcummins live hour from this rally Pensacola. the kids local high school are asymptomatic, but testing positive. Rumor the entire senior year positive, but keeping quiet. the principal was caught hot mic saying “Covid not real thing” are screwed","['@karolcummins', 'live', 'hour', 'from', 'this', 'rally', 'Pensacola', '.', 'the', 'kids', 'local', 'high', 'school', 'are', 'asymptomatic', ',', 'but', 'testing', 'positive', '.', 'Rumor', 'the', 'entire', 'senior', 'year', 'positive', ',', 'but', 'keeping', 'quiet', '.', 'the', 'principal', 'was', 'caught', 'hot', 'mic', 'saying', '“', 'Covid', 'not', 'real', 'thing', '”', 'are', 'screwed']", live hour from this rally Pensacola the kids local high school are asymptomatic but testing positive Rumor the entire senior year positive but keeping quiet the principal was caught hot mic saying Covid not real thing are screwed,"['live', 'hour', 'rally', 'Pensacola', 'kids', 'local', 'high', 'positive', 'Rumor', 'entire', 'positive', 'keeping', 'quiet', 'principal', 'caught', 'hot', 'Covid']","live,hour,ralli,pensacola,kid,local,high,posit,rumor,entir,posit,keep,quiet,princip,caught,hot,covid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sat Oct 24 06:33:39 +0000 2020,1.31989E+18,0,1,1,"hispanic brothers, called you rapist, black brothers stand behind the force that murders you, white brothers his ignorance has cost you many family members due Covid and still mocks it. denies the same medical system that gave him the best possible..","['hispanic', 'brothers', ',', 'called', 'you', 'rapist', ',', 'black', 'brothers', 'stand', 'behind', 'the', 'force', 'that', 'murders', 'you', ',', 'white', 'brothers', 'his', 'ignorance', 'has', 'cost', 'you', 'many', 'family', 'members', 'due', 'Covid', 'and', 'still', 'mocks', 'it', '.', 'denies', 'the', 'same', 'medical', 'system', 'that', 'gave', 'him', 'the', 'best', 'possible', '.', '.']",hispanic brothers called you rapist black brothers stand behind the force that murders you white brothers his ignorance has cost you many family members due Covid and still mocks it denies the same medical system that gave him the best possible,"['brothers', 'called', 'rapist', 'black', 'brothers', 'white', 'brothers', 'family', 'Covid', 'gave', 'possible']","brother,call,rapist,black,brother,white,brother,famili,covid,gave,possibl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Sat Oct 24 06:33:39 +0000 2020,1.31989E+18,1,0,0,U.S. sets single-day record for COVID-19 cases during new surge https://t.co/sgpebpmEDQ,"['U', '.', 'S', '.', 'sets', 'single-day', 'record', 'for', 'COVID', '-', '19', 'cases', 'during', 'new', 'surge', 'https://t.co/sgpebpmEDQ']",US sets singleday record for COVID19 cases during new surge ,"['COVID', 'cases']","covid,case",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Sat Oct 24 06:33:38 +0000 2020,1.31989E+18,0,0,1,"@amandamilling @Keir_Starmer @AngelaRayner Lol, you seriously think people are reacting under the breath comment and not for ten years and change ceaseless social murder and the recent total refusal address Covid effective manner. Infinite money for Servo, not penny for the poor bad look","['@amandamilling', '@Keir_Starmer', '@AngelaRayner', 'Lol', ',', 'you', 'seriously', 'think', 'people', 'are', 'reacting', 'under', 'the', 'breath', 'comment', 'and', 'not', 'for', 'ten', 'years', 'and', 'change', 'ceaseless', 'social', 'murder', 'and', 'the', 'recent', 'total', 'refusal', 'address', 'Covid', 'effective', 'manner', '.', 'Infinite', 'money', 'for', 'Servo', ',', 'not', 'penny', 'for', 'the', 'poor', 'bad', 'look']", Starmer  Lol you seriously think people are reacting under the breath comment and not for ten years and change ceaseless social murder and the recent total refusal address Covid effective manner Infinite money for Servo not penny for the poor bad look,"['Lol', 'people', 'breath', 'change', 'ceaseless', 'Covid', 'effective', 'penny', 'poor', 'bad', 'look']","lol,peopl,breath,chang,ceaseless,covid,effect,penni,poor,bad,look",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Sat Oct 24 06:33:38 +0000 2020,1.31989E+18,1,0,0,sometimes wonder will ever get rid covid and able tell our future generations bout its existence year 2020. just like tell kids these days bout SARS 2002,"['sometimes', 'wonder', 'will', 'ever', 'get', 'rid', 'covid', 'and', 'able', 'tell', 'our', 'future', 'generations', 'bout', 'its', 'existence', 'year', '2020', '.', 'just', 'like', 'tell', 'kids', 'these', 'days', 'bout', 'SARS', '2002']",sometimes wonder will ever get rid covid and able tell our future generations bout its existence year 2020 just like tell kids these days bout SARS 2002,"['ever', 'get', 'rid', 'future', 'generations', 'bout', 'existence', '2020', 'like', 'kids', 'bout', '2002']","ever,get,rid,futur,gener,bout,exist,2020,like,kid,bout,2002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Sat Oct 24 06:33:38 +0000 2020,1.31989E+18,1,1,1,Huge COVID study finds remdesivir doesn’t work—FDA grants approval anyway Trump fucking moron. Big pharma corps. are murderers. https://t.co/1B8sxcFdDQ,"['Huge', 'COVID', 'study', 'finds', 'remdesivir', 'doesn', '’', 't', 'work', '—', 'FDA', 'grants', 'approval', 'anyway', 'Trump', 'fucking', 'moron', '.', 'Big', 'pharma', 'corps', '.', 'are', 'murderers', '.', 'https://t.co/1B8sxcFdDQ']",Huge COVID study finds remdesivir doesnt workFDA grants approval anyway Trump fucking moron Big pharma corps are murderers ,"['Huge', 'COVID', 'finds', 'work', '—', 'FDA', 'grants', 'Trump', 'fucking', 'Big', 'pharma']","huge,covid,find,work,—,fda,grant,trump,fuck,big,pharma",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Sat Oct 24 06:33:37 +0000 2020,1.31989E+18,0,1,1,@enomyy @realDonaldTrump That’s extreme. What trump’s fault are failures what did have control over. Like COVID-19 response. lies about everything. Can’t trusted.,"['@enomyy', '@realDonaldTrump', 'That', '’', 's', 'extreme', '.', 'What', 'trump', '’', 's', 'fault', 'are', 'failures', 'what', 'did', 'have', 'control', 'over', '.', 'Like', 'COVID', '-', '19', 'response', '.', 'lies', 'about', 'everything', '.', 'Can', '’', 't', 'trusted', '.']",  Thats extreme What trumps fault are failures what did have control over Like COVID19 response lies about everything Cant trusted,"['That', 'extreme', 'What', 'fault', 'failures', 'Like', 'COVID', 'lies', 'everything', 'Can']","that,extrem,what,fault,failur,like,covid,lie,everyth,can",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
